strain rep decay evolvability N0
KBS0705 3 0.00677078276720514 -5.68769738612085e-06 6.56307315209245
KBS0705 4 0.0106382441262568 -8.73465923701251e-06 6.88875017061864
KBS0706 1 0.00177734734525553 0 6.34665780627606
KBS0706 2 0.00185601825735944 0 6.382192356665
KBS0706 3 0.00159124110846238 0 6.35053213483084
KBS0706 4 0.00165269273921036 0 6.27000501763387
KBS0707 1 0.00554767539371311 -4.4893051739198e-06 5.68972261504379
KBS0707 2 0.00742742162590355 -6.84465280379307e-06 5.78628634188885
KBS0707 3 0.00777241139087299 -6.66808563580664e-06 5.7678902359025
KBS0707 4 0.00644555852116278 -5.51101716426537e-06 5.71962605098031
KBS0710 1 0.0075322846395912 -4.83211248989573e-06 7.15057598043171
KBS0710 2 0.00765509298990564 -5.28679836864766e-06 7.08754913794807
KBS0710 3 0.00415823659825838 0 6.50004779019912
KBS0710 4 0.00458006063241686 0 6.34471972185314
KBS0711 1 0.00845459337965549 -5.98487840208681e-06 6.49120469838611
KBS0711 2 0.00785548842666291 -5.82711618765766e-06 6.36347748104408
KBS0711 3 0.00856759094297133 -6.95517326166795e-06 6.50106939447354
KBS0711 4 0.0172824414120637 0 7.45403471197988
KBS0711 11 0.000661543748783385 0 5.11059138665121
KBS0711 12 0.0131767216730686 0 7.3413440527537
KBS0711 10 0.000643829104448503 0 5.07017922699252
KBS0711W 1 0.0100186770249139 -9.35327468960998e-06 6.68727776141123
KBS0711W 2 0.0144248938281641 -1.40981272309512e-05 7.06791034606569
KBS0711W 3 0.0109899861438187 -1.06031602794698e-05 6.71932398883543
KBS0711W 4 0.00916080555348624 -9.03442028699412e-06 6.40848114172149
KBS0712 1 0.00210206923469488 0 6.56915861528744
KBS0712 2 0.0017577760162231 0 6.48458882871574
KBS0712 3 0.00204151357280186 0 6.53606046767217
KBS0712 4 0.000985929894764856 0 6.41658813780938
KBS0713 3 0.00798036179098578 -7.41807194995132e-06 6.93625025453192
